GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
VN00_EBIO,2020,3567189.1066804,162722.7,.
VN00_EBIO,2050,3567189.1066804,162722.7,.
VN00_ECCG,2022,899208,24943.5,.
VN00_ECCG,2050,899208,24943.5,.
VN00_ECCG_CCS,2050,1536043.5,41814,.
VN00_ECOA,1976,2352244.5,66654,.
VN00_ECOA,1986,2352244.5,66654,.
VN00_ECOA,2002,2352244.5,66654,.
VN00_ECOA,2005,2352244.5,66654,.
VN00_ECOA,2007,2352244.5,66654,.
VN00_ECOA,2009,2352244.5,66654,.
VN00_ECOA,2010,2352244.5,66654,.
VN00_ECOA,2013,2352244.5,66654,.
VN00_ECOA,2014,2352244.5,66654,.
VN00_ECOA,2015,2352244.5,66654,.
VN00_ECOA,2018,2352244.5,66654,.
VN00_ECOA,2021,2352244.5,66654,.
VN00_ECOA,2022,2352244.5,66654,.
VN00_ECOA,2026,2352244.5,66654,.
VN00_ECOA,2050,2352244.5,66654,.
VN00_ECOA_CCS,2050,3478428,94599,.
VN00_EGEO,2023,3655006.89009747,107188.721220127,.
VN00_EGEO,2050,3655006.89009747,107188.721220127,.
VN00_ENUC,2050,5968058.10526765,122958,.
VN00_EOIL,2022,632500,9000,.
VN00_EOIL,2050,632500,9000,.
VN00_EROR,1971,2801745,84870,.
VN00_EROR,1994,2801745,84870,.
VN00_EROR,2003,2801745,84870,.
VN00_EROR,2004,2801745,84870,.
VN00_EROR,2006,2801745,84870,.
VN00_EROR,2007,2801745,84870,.
VN00_EROR,2008,2801745,84870,.
VN00_EROR,2009,2801745,84870,.
VN00_EROR,2010,2801745,84870,.
VN00_EROR,2011,2801745,84870,.
VN00_EROR,2012,2801745,84870,.
VN00_EROR,2013,2801745,84870,.
VN00_EROR,2014,2801745,84870,.
VN00_EROR,2015,2801745,84870,.
VN00_EROR,2016,2801745,84870,.
VN00_EROR,2017,2801745,84870,.
VN00_EROR,2018,2801745,84870,.
VN00_EROR,2019,2801745,84870,.
VN00_EROR,2020,2801745,84870,.
VN00_EROR,2021,2801745,84870,.
VN00_EROR,2022,2801745,84870,.
VN00_EROR,2023,2801745,84870,.
VN00_EROR,2024,2801745,84870,.
VN00_EROR,2030,2801745,84870,.
VN00_EROR,2050,2801745,84870,.
VN00_ESOL,2020,631789.618611051,13968.9741396954,.
VN00_ESOL,2021,631789.618611051,13968.9741396954,.
VN00_ESOL,2023,631789.618611051,13968.9741396954,.
VN00_ESOL,2050,631789.618611051,13968.9741396954,.
VN00_EWIN,2023,900371.963368933,24115.5,.
VN00_EWIN,2050,900371.963368933,24115.5,.
