GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_store_to_release_ratio,gen_storage_efficiency,gen_storage_max_cycles_per_year
VN00_EBIO,EBIO,VN00,0,3222.58,13.5,5.2164,45,0,0,0,BIO,.,.,.
VN00_ECCG,ECCG,VN00,0,.,6.159,1.6767,30,0,0,0,GAS,.,.,.
VN00_ECCG_CCS,ECCG_CCS,VN00,0,.,6.847,3.4362,30,0,0,0,GAS_CCS,.,.,.
VN00_ECOA,ECOA,VN00,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN00_ECOA_CCS,ECOA_CCS,VN00,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN00_EGEO,EGEO,VN00,0,255.3,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
VN00_EGEO,EGEO,VN00,0,255.3,.,0.34,30,0,0,0,GEO,.,.,.
VN00_ENUC,ENUC,VN00,0,.,10.447,3.23955,60,0,1,0,NUC,.,.,.
VN00_EOIL,EOIL,VN00,0,.,13.6,2.2,30,0,0,0,OIL,.,.,.
VN00_EROR,EROR,VN00,0,19491.7,.,0.46,80,1,0,0,ROR,.,.,.
VN00_ESOL,ESOL,VN00,0,9295290,.,0.01,30,1,0,0,SOL,.,.,.
VN00_EWIN,EWIN,VN00,0,118969,.,3.73,30,1,0,0,WIN,.,.,.
VN00_EWIN_OFF,EWIN_OFF,VN00,0,614360,.,3.1,30,1,0,0,WIN_OFF,.,.,.
VN00_IMP,IMP,VN00,0,3400,3.412,0,50,0,0,0,IMP,.,.,.
VN00_STG_BTR,STG_BTR,VN00,0,.,.,2.06,15,0,0,0,Electricity,.,0.9,.
VN00_STG_PHS,STG_PHS,VN00,0,10960,.,14.4589,80,0,0,0,PHS,.,.,.
VN01_EBIO,EBIO,VN01,0,1094.56,13.5,5.2164,45,0,0,0,BIO,.,.,.
VN01_ECCG,ECCG,VN01,0,.,6.159,1.6767,30,0,0,0,GAS,.,.,.
VN01_ECCG_CCS,ECCG_CCS,VN01,0,.,6.847,3.4362,30,0,0,0,GAS_CCS,.,.,.
VN01_ECOA,ECOA,VN01,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN01_ECOA_CCS,ECOA_CCS,VN01,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN01_EGEO,EGEO,VN01,0,50.81,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
VN01_EGEO,EGEO,VN01,0,50.81,.,0.34,30,0,0,0,GEO,.,.,.
VN01_ENUC,ENUC,VN01,0,.,10.447,3.23955,60,0,1,0,NUC,.,.,.
VN01_EOIL,EOIL,VN01,0,.,13.6,2.2,30,0,0,0,OIL,.,.,.
VN01_EROR,EROR,VN01,0,2839.5,.,0.46,80,1,0,0,ROR,.,.,.
VN01_ESOL,ESOL,VN01,0,3333165,.,0.01,30,1,0,0,SOL,.,.,.
VN01_EWIN,EWIN,VN01,0,119661,.,3.73,30,1,0,0,WIN,.,.,.
VN01_EWIN_OFF,EWIN_OFF,VN01,0,563203,.,3.1,30,1,0,0,WIN_OFF,.,.,.
VN01_IMP,IMP,VN01,0,6500,3.412,0,50,0,0,0,IMP,.,.,.
VN01_STG_BTR,STG_BTR,VN01,0,.,.,2.06,15,0,0,0,Electricity,.,0.9,.
VN01_STG_PHS,STG_PHS,VN01,0,1000,.,14.4589,80,0,0,0,PHS,.,.,.
VN02_EBIO,EBIO,VN02,0,1022.59,13.5,5.2164,45,0,0,0,BIO,.,.,.
VN02_ECCG,ECCG,VN02,0,.,6.159,1.6767,30,0,0,0,GAS,.,.,.
VN02_ECCG_CCS,ECCG_CCS,VN02,0,.,6.847,3.4362,30,0,0,0,GAS_CCS,.,.,.
VN02_ECOA,ECOA,VN02,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN02_ECOA_CCS,ECOA_CCS,VN02,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN02_EGEO,EGEO,VN02,0,76.66,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
