LOAD_ZONE,TIMEPOINT,zone_demand_mw
VN00,2050_d001_h00,34133.0659305514
VN00,2050_d001_h01,33277.6918443153
VN00,2050_d001_h02,32821.051132901
VN00,2050_d001_h03,32732.5356326812
VN00,2050_d001_h04,32737.4991186748
VN00,2050_d001_h05,33496.9124757007
VN00,2050_d001_h06,36890.2824000148
VN00,2050_d001_h07,40625.3056102239
VN00,2050_d001_h08,41900.0942629221
VN00,2050_d001_h09,42719.8966995372
VN00,2050_d001_h10,43775.4647208499
VN00,2050_d001_h11,44284.2220351974
VN00,2050_d001_h12,40120.6845342045
VN00,2050_d001_h13,38965.0195453536
VN00,2050_d001_h14,41022.3844897146
VN00,2050_d001_h15,42360.0439649988
VN00,2050_d001_h16,44812.0060458537
VN00,2050_d001_h17,50328.9207277773
VN00,2050_d001_h18,54939.9992158627
VN00,2050_d001_h19,48845.6656633465
VN00,2050_d001_h20,45719.496735023
VN00,2050_d001_h21,43331.2327244198
VN00,2050_d001_h22,40681.5584514851
VN00,2050_d001_h23,37301.4244898208
VN00,2050_d002_h00,34133.0659305514
VN00,2050_d002_h01,33277.6918443153
VN00,2050_d002_h02,32821.051132901
VN00,2050_d002_h03,32732.5356326812
VN00,2050_d002_h04,32737.4991186748
VN00,2050_d002_h05,33496.9124757007
VN00,2050_d002_h06,36890.2824000148
VN00,2050_d002_h07,40625.3056102239
VN00,2050_d002_h08,41900.0942629221
VN00,2050_d002_h09,42719.8966995372
VN00,2050_d002_h10,43775.4647208499
VN00,2050_d002_h11,44284.2220351974
VN00,2050_d002_h12,40120.6845342045
VN00,2050_d002_h13,38965.0195453536
VN00,2050_d002_h14,41022.3844897146
VN00,2050_d002_h15,42360.0439649988
VN00,2050_d002_h16,44812.0060458537
VN00,2050_d002_h17,50328.9207277773
VN00,2050_d002_h18,54939.9992158627
VN00,2050_d002_h19,48845.6656633465
VN00,2050_d002_h20,45719.496735023
VN00,2050_d002_h21,43331.2327244198
VN00,2050_d002_h22,40681.5584514851
VN00,2050_d002_h23,37301.4244898208
VN00,2050_d003_h00,35655.2016352657
VN00,2050_d003_h01,34713.7937918065
VN00,2050_d003_h02,34329.1236272999
VN00,2050_d003_h03,34315.0604169846
VN00,2050_d003_h04,34369.6587629146
VN00,2050_d003_h05,35156.3712929055
VN00,2050_d003_h06,39442.341448408
VN00,2050_d003_h07,43724.1753655824
VN00,2050_d003_h08,45184.2674953762
VN00,2050_d003_h09,45791.4672819307
VN00,2050_d003_h10,45725.2874686823
VN00,2050_d003_h11,46194.3368950806
VN00,2050_d003_h12,42556.1016617473
VN00,2050_d003_h13,41852.9411459826
VN00,2050_d003_h14,44012.8848008787
VN00,2050_d003_h15,45231.4206123157
VN00,2050_d003_h16,47292.9217950048
VN00,2050_d003_h17,51712.0788246698
VN00,2050_d003_h18,56684.6645426249
VN00,2050_d003_h19,49638.9961746622
