load_zone,fuel,period,fuel_cost
VN00,BGA,2050,0
VN00,BIO,2050,6.719886488
VN00,COA,2050,4.409925508
VN00,COA_CCS,2050,4.409925508
VN00,GEO,2050,0
VN00,H2,2050,21.98033305
VN00,IMP,2050,20.36843719
VN00,LNG,2050,11.9
VN00,LNG_CCS,2050,11.9
VN00,NH3,2050,19.85320405
VN00,NUC,2050,5.127572095
VN00,OIL,2050,16.74971904
VN00,WTE,2050,0
VN01,BGA,2050,0
VN01,BIO,2050,6.719886488
VN01,COA,2050,4.409925508
VN01,COA_CCS,2050,4.409925508
VN01,GEO,2050,0
VN01,H2,2050,21.98033305
VN01,IMP,2050,20.36843719
VN01,LNG,2050,11.9
VN01,LNG_CCS,2050,11.9
VN01,NH3,2050,19.85320405
VN01,NUC,2050,5.127572095
VN01,OIL,2050,16.74971904
VN01,WTE,2050,0
VN02,BGA,2050,0
VN02,BIO,2050,6.719886488
VN02,COA,2050,4.409925508
VN02,COA_CCS,2050,4.409925508
VN02,GEO,2050,0
VN02,H2,2050,21.98033305
VN02,IMP,2050,20.36843719
VN02,LNG,2050,11.9
VN02,LNG_CCS,2050,11.9
VN02,NH3,2050,19.85320405
VN02,NUC,2050,5.127572095
VN02,OIL,2050,16.74971904
VN02,WTE,2050,0
VN03,BGA,2050,0
VN03,BIO,2050,6.719886488
VN03,COA,2050,4.409925508
VN03,COA_CCS,2050,4.409925508
VN03,GEO,2050,0
VN03,H2,2050,21.98033305
VN03,IMP,2050,20.36843719
VN03,LNG,2050,11.9
VN03,LNG_CCS,2050,11.9
VN03,NH3,2050,19.85320405
VN03,NUC,2050,5.127572095
VN03,OIL,2050,16.74971904
VN03,WTE,2050,0
VN04,BGA,2050,0
VN04,BIO,2050,6.719886488
VN04,COA,2050,4.409925508
VN04,COA_CCS,2050,4.409925508
VN04,GEO,2050,0
VN04,H2,2050,21.98033305
VN04,IMP,2050,20.36843719
VN04,LNG,2050,11.9
VN04,LNG_CCS,2050,11.9
VN04,NH3,2050,19.85320405
VN04,NUC,2050,5.127572095
VN04,OIL,2050,16.74971904
VN04,WTE,2050,0
VN05,BGA,2050,0
VN05,BIO,2050,6.719886488
VN05,COA,2050,4.409925508
VN05,COA_CCS,2050,4.409925508
VN05,GEO,2050,0
VN05,H2,2050,21.98033305
VN05,IMP,2050,20.36843719
VN05,LNG,2050,11.9
VN05,LNG_CCS,2050,11.9
VN05,NH3,2050,19.85320405
VN05,NUC,2050,5.127572095
VN05,OIL,2050,16.74971904
VN05,WTE,2050,0
