GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
VN00_EBGA,2023,3105000,106605,.
VN00_EBIO,2020,1840000,52325,.
VN00_ECCG,2022,793500,32775,.
VN00_ECOA,1976,1667500,44275,.
VN00_ECOA,1986,1667500,44275,.
VN00_ECOA,2002,1667500,44275,.
VN00_ECOA,2005,1667500,44275,.
VN00_ECOA,2007,1667500,44275,.
VN00_ECOA,2009,1667500,44275,.
VN00_ECOA,2010,1667500,44275,.
VN00_ECOA,2013,1667500,44275,.
VN00_ECOA,2014,1667500,44275,.
VN00_ECOA,2015,1667500,44275,.
VN00_ECOA,2018,1667500,44275,.
VN00_ECOA,2021,1667500,44275,.
VN00_ECOA,2022,1667500,44275,.
VN00_ECOA,2026,1667500,44275,.
VN00_EGEO,2023,5405000,22080,.
VN00_EHYD,1971,1725000,41170,.
VN00_EHYD,1994,1725000,41170,.
VN00_EHYD,2003,1725000,41170,.
VN00_EHYD,2004,1725000,41170,.
VN00_EHYD,2006,1725000,41170,.
VN00_EHYD,2007,1725000,41170,.
VN00_EHYD,2008,1725000,41170,.
VN00_EHYD,2009,1725000,41170,.
VN00_EHYD,2010,1725000,41170,.
VN00_EHYD,2011,1725000,41170,.
VN00_EHYD,2012,1725000,41170,.
VN00_EHYD,2013,1725000,41170,.
VN00_EHYD,2014,1725000,41170,.
VN00_EHYD,2015,1725000,41170,.
VN00_EHYD,2016,1725000,41170,.
VN00_EHYD,2017,1725000,41170,.
VN00_EHYD,2018,1725000,41170,.
VN00_EHYD,2019,1725000,41170,.
VN00_EHYD,2020,1725000,41170,.
VN00_EHYD,2021,1725000,41170,.
VN00_EHYD,2022,1725000,41170,.
VN00_EHYD,2023,1725000,41170,.
VN00_EHYD,2024,1725000,41170,.
VN00_EHYD,2029,1725000,41170,.
VN00_EOIL,2022,920000,12650,.
VN00_ESOL,2020,655500,11500,.
VN00_ESOL,2021,655500,11500,.
VN00_ESOL,2023,655500,11500,.
VN00_EWIN,2023,1725000,46000,.
VN00_EWTE,2020,5980000,268755,.
VN00_IMP,2020,0,0,.
VN00_STG_PHS,2023,1023500,9568,.
VN01_EBGA,2023,3105000,106605,.
VN01_EBIO,2020,1840000,52325,.
VN01_ECCG,2022,793500,32775,.
VN01_ECOA,2014,1667500,44275,.
VN01_ECOA,2015,1667500,44275,.
VN01_ECOA,2022,1667500,44275,.
VN01_EGEO,2023,5405000,22080,.
VN01_EHYD,2009,1725000,41170,.
VN01_EHYD,2010,1725000,41170,.
VN01_EHYD,2012,1725000,41170,.
VN01_EHYD,2013,1725000,41170,.
VN01_EHYD,2014,1725000,41170,.
VN01_EHYD,2015,1725000,41170,.
VN01_EHYD,2016,1725000,41170,.
VN01_EHYD,2017,1725000,41170,.
VN01_EHYD,2018,1725000,41170,.
VN01_EHYD,2019,1725000,41170,.
VN01_EHYD,2020,1725000,41170,.
VN01_EOIL,2022,920000,12650,.
VN01_ESOL,2020,655500,11500,.
VN01_ESOL,2021,655500,11500,.
VN01_ESOL,2023,655500,11500,.
VN01_EWIN,2021,1725000,46000,.
VN01_EWIN,2023,1725000,46000,.
VN01_EWTE,2020,5980000,268755,.
VN01_IMP,2020,0,0,.
VN01_STG_PHS,2023,1023500,9568,.
VN02_EBGA,2023,3105000,106605,.
VN02_EBIO,2020,1840000,52325,.
VN02_ECCG,2022,793500,32775,.
VN02_ECOA,2015,1667500,44275,.
VN02_ECOA,2025,1667500,44275,.
VN02_ECOA,2026,1667500,44275,.
VN02_EGEO,2023,5405000,22080,.
