GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_store_to_release_ratio,gen_storage_efficiency,gen_storage_max_cycles_per_year
VN00_EBGA,EBGA,VN00,0,918.08,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN00_EBIO,EBIO,VN00,0,1834,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN00_ECCG,ECCG,VN00,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN00_ECCG_CCS,ECCG_CCS,VN00,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN00_ECOA,ECOA,VN00,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN00_ECOA_CCS,ECOA_CCS,VN00,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN00_EGEO,EGEO,VN00,0,255.3,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN00_EHYD,EHYD,VN00,0,10672.7,.,0.667,50,1,0,0,HYD,.,.,.
VN00_ENUC,ENUC,VN00,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN00_EOIL,EOIL,VN00,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN00_EROR,EROR,VN00,0,8819,.,0.575,45,1,0,0,ROR,.,.,.
VN00_ESOL,ESOL,VN00,0,82766,.,0,40,1,0,0,SOL,.,.,.
VN00_EWIN,EWIN,VN00,0,1140,.,2.875,30,1,0,0,WIN,.,.,.
VN00_EWIN_OFF,EWIN_OFF,VN00,0,66797,.,0,30,1,0,0,WIN_OFF,.,.,.
VN00_EWTE,EWTE,VN00,0,470.5,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN00_IMP,IMP,VN00,0,3400,3.412,0,50,0,0,0,IMP,.,.,.
VN00_STG_BTR,STG_BTR,VN00,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN00_STG_PHS,STG_PHS,VN00,0,10960,.,1.61,50,0,0,0,PHS,.,.,.
VN01_EBGA,EBGA,VN01,0,299.05,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN01_EBIO,EBIO,VN01,0,700,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN01_ECCG,ECCG,VN01,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN01_ECCG_CCS,ECCG_CCS,VN01,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN01_ECOA,ECOA,VN01,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN01_ECOA_CCS,ECOA_CCS,VN01,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN01_EGEO,EGEO,VN01,0,50.81,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN01_EHYD,EHYD,VN01,0,1819.5,.,0.667,50,1,0,0,HYD,.,.,.
VN01_ENUC,ENUC,VN01,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN01_EOIL,EOIL,VN01,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN01_EROR,EROR,VN01,0,1020,.,0.575,45,1,0,0,ROR,.,.,.
VN01_ESOL,ESOL,VN01,0,103600,.,0,40,1,0,0,SOL,.,.,.
VN01_EWIN,EWIN,VN01,0,1521,.,2.875,30,1,0,0,WIN,.,.,.
VN01_EWIN_OFF,EWIN_OFF,VN01,0,70133,.,0,30,1,0,0,WIN_OFF,.,.,.
VN01_EWTE,EWTE,VN01,0,95.51,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN01_IMP,IMP,VN01,0,6500,3.412,0,50,0,0,0,IMP,.,.,.
VN01_STG_BTR,STG_BTR,VN01,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN01_STG_PHS,STG_PHS,VN01,0,1000,.,1.61,50,0,0,0,PHS,.,.,.
VN02_EBGA,EBGA,VN02,0,150.94,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN02_EBIO,EBIO,VN02,0,769,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN02_ECCG,ECCG,VN02,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN02_ECCG_CCS,ECCG_CCS,VN02,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN02_ECOA,ECOA,VN02,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN02_ECOA_CCS,ECOA_CCS,VN02,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN02_EGEO,EGEO,VN02,0,76.66,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN02_EHYD,EHYD,VN02,0,2351.4,.,0.667,50,1,0,0,HYD,.,.,.
VN02_ENUC,ENUC,VN02,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN02_EOIL,EOIL,VN02,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN02_EROR,EROR,VN02,0,1827,.,0.575,45,1,0,0,ROR,.,.,.
VN02_ESOL,ESOL,VN02,0,44038,.,0,40,1,0,0,SOL,.,.,.
VN02_EWIN,EWIN,VN02,0,2080,.,2.875,30,1,0,0,WIN,.,.,.
VN02_EWIN_OFF,EWIN_OFF,VN02,0,78857,.,0,30,1,0,0,WIN_OFF,.,.,.
VN02_EWTE,EWTE,VN02,0,102.65,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN02_IMP,IMP,VN02,0,7000,3.412,0,50,0,0,0,IMP,.,.,.
VN02_STG_BTR,STG_BTR,VN02,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN02_STG_PHS,STG_PHS,VN02,0,3400,.,1.61,50,0,0,0,PHS,.,.,.
VN03_EBGA,EBGA,VN03,0,128.07,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN03_EBIO,EBIO,VN03,0,762,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN03_ECCG,ECCG,VN03,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN03_ECCG_CCS,ECCG_CCS,VN03,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN03_ECOA,ECOA,VN03,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN03_ECOA_CCS,ECOA_CCS,VN03,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN03_EGEO,EGEO,VN03,0,0,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN03_EHYD,EHYD,VN03,0,4370.4,.,0.667,50,1,0,0,HYD,.,.,.
VN03_ENUC,ENUC,VN03,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN03_EOIL,EOIL,VN03,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN03_EROR,EROR,VN03,0,1790,.,0.575,45,1,0,0,ROR,.,.,.
VN03_ESOL,ESOL,VN03,0,199763,.,0,40,1,0,0,SOL,.,.,.
