TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2050_d001,2050,1,24,1
2050_d002,2050,1,24,1
2050_d003,2050,1,24,1
2050_d004,2050,1,24,1
2050_d005,2050,1,24,1
2050_d006,2050,1,24,1
2050_d007,2050,1,24,1
2050_d008,2050,1,24,1
2050_d009,2050,1,24,1
2050_d010,2050,1,24,1
2050_d011,2050,1,24,1
2050_d012,2050,1,24,1
2050_d013,2050,1,24,1
2050_d014,2050,1,24,1
2050_d015,2050,1,24,1
2050_d016,2050,1,24,1
2050_d017,2050,1,24,1
2050_d018,2050,1,24,1
2050_d019,2050,1,24,1
2050_d020,2050,1,24,1
2050_d021,2050,1,24,1
2050_d022,2050,1,24,1
2050_d023,2050,1,24,1
2050_d024,2050,1,24,1
2050_d025,2050,1,24,1
2050_d026,2050,1,24,1
2050_d027,2050,1,24,1
2050_d028,2050,1,24,1
2050_d029,2050,1,24,1
2050_d030,2050,1,24,1
2050_d031,2050,1,24,1
2050_d032,2050,1,24,1
2050_d033,2050,1,24,1
2050_d034,2050,1,24,1
2050_d035,2050,1,24,1
2050_d036,2050,1,24,1
2050_d037,2050,1,24,1
2050_d038,2050,1,24,1
2050_d039,2050,1,24,1
2050_d040,2050,1,24,1
2050_d041,2050,1,24,1
2050_d042,2050,1,24,1
2050_d043,2050,1,24,1
2050_d044,2050,1,24,1
2050_d045,2050,1,24,1
2050_d046,2050,1,24,1
2050_d047,2050,1,24,1
2050_d048,2050,1,24,1
2050_d049,2050,1,24,1
2050_d050,2050,1,24,1
2050_d051,2050,1,24,1
2050_d052,2050,1,24,1
2050_d053,2050,1,24,1
2050_d054,2050,1,24,1
2050_d055,2050,1,24,1
2050_d056,2050,1,24,1
2050_d057,2050,1,24,1
2050_d058,2050,1,24,1
2050_d059,2050,1,24,1
2050_d060,2050,1,24,1
2050_d061,2050,1,24,1
2050_d062,2050,1,24,1
2050_d063,2050,1,24,1
2050_d064,2050,1,24,1
2050_d065,2050,1,24,1
2050_d066,2050,1,24,1
2050_d067,2050,1,24,1
2050_d068,2050,1,24,1
2050_d069,2050,1,24,1
2050_d070,2050,1,24,1
2050_d071,2050,1,24,1
2050_d072,2050,1,24,1
2050_d073,2050,1,24,1
2050_d074,2050,1,24,1
2050_d075,2050,1,24,1
2050_d076,2050,1,24,1
2050_d077,2050,1,24,1
2050_d078,2050,1,24,1
2050_d079,2050,1,24,1
2050_d080,2050,1,24,1
2050_d081,2050,1,24,1
2050_d082,2050,1,24,1
2050_d083,2050,1,24,1
2050_d084,2050,1,24,1
2050_d085,2050,1,24,1
2050_d086,2050,1,24,1
2050_d087,2050,1,24,1
2050_d088,2050,1,24,1
2050_d089,2050,1,24,1
2050_d090,2050,1,24,1
2050_d091,2050,1,24,1
2050_d092,2050,1,24,1
2050_d093,2050,1,24,1
2050_d094,2050,1,24,1
2050_d095,2050,1,24,1
2050_d096,2050,1,24,1
2050_d097,2050,1,24,1
2050_d098,2050,1,24,1
2050_d099,2050,1,24,1
2050_d100,2050,1,24,1
2050_d101,2050,1,24,1
2050_d102,2050,1,24,1
2050_d103,2050,1,24,1
2050_d104,2050,1,24,1
2050_d105,2050,1,24,1
2050_d106,2050,1,24,1
2050_d107,2050,1,24,1
2050_d108,2050,1,24,1
2050_d109,2050,1,24,1
2050_d110,2050,1,24,1
2050_d111,2050,1,24,1
2050_d112,2050,1,24,1
2050_d113,2050,1,24,1
2050_d114,2050,1,24,1
2050_d115,2050,1,24,1
2050_d116,2050,1,24,1
2050_d117,2050,1,24,1
2050_d118,2050,1,24,1
2050_d119,2050,1,24,1
2050_d120,2050,1,24,1
2050_d121,2050,1,24,1
2050_d122,2050,1,24,1
2050_d123,2050,1,24,1
2050_d124,2050,1,24,1
2050_d125,2050,1,24,1
2050_d126,2050,1,24,1
2050_d127,2050,1,24,1
2050_d128,2050,1,24,1
2050_d129,2050,1,24,1
2050_d130,2050,1,24,1
2050_d131,2050,1,24,1
2050_d132,2050,1,24,1
2050_d133,2050,1,24,1
2050_d134,2050,1,24,1
2050_d135,2050,1,24,1
2050_d136,2050,1,24,1
2050_d137,2050,1,24,1
2050_d138,2050,1,24,1
2050_d139,2050,1,24,1
2050_d140,2050,1,24,1
2050_d141,2050,1,24,1
2050_d142,2050,1,24,1
2050_d143,2050,1,24,1
2050_d144,2050,1,24,1
2050_d145,2050,1,24,1
2050_d146,2050,1,24,1
2050_d147,2050,1,24,1
2050_d148,2050,1,24,1
2050_d149,2050,1,24,1
2050_d150,2050,1,24,1
2050_d151,2050,1,24,1
2050_d152,2050,1,24,1
2050_d153,2050,1,24,1
2050_d154,2050,1,24,1
2050_d155,2050,1,24,1
2050_d156,2050,1,24,1
2050_d157,2050,1,24,1
2050_d158,2050,1,24,1
2050_d159,2050,1,24,1
2050_d160,2050,1,24,1
2050_d161,2050,1,24,1
2050_d162,2050,1,24,1
2050_d163,2050,1,24,1
2050_d164,2050,1,24,1
2050_d165,2050,1,24,1
2050_d166,2050,1,24,1
2050_d167,2050,1,24,1
2050_d168,2050,1,24,1
2050_d169,2050,1,24,1
2050_d170,2050,1,24,1
2050_d171,2050,1,24,1
2050_d172,2050,1,24,1
2050_d173,2050,1,24,1
2050_d174,2050,1,24,1
2050_d175,2050,1,24,1
2050_d176,2050,1,24,1
2050_d177,2050,1,24,1
